item,base_usd,base_eur,predicted_usd,predicted_eur,quantity,reference_currency,fx_usd_to_eur,fx_source,base_collected_at_utc,status,error
AK-47 | Aphrodite (Minimal Wear),43.72,37.2118408,43.72,37.2118408,2208,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T14:00:31.951655+00:00,ok,
AK-47 | Asiimov (Field-Tested),41.76,35.5436064,41.4,35.237196,2406,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T13:48:49.215462+00:00,ok,
AK-47 | Blue Laminate (Minimal Wear),16.8,14.299152000000001,16.76,14.265106400000002,1951,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T14:00:17.051057+00:00,ok,
AK-47 | Cartel (Minimal Wear),21.96,18.6910344,21.85,18.597409000000003,1233,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T14:04:46.470546+00:00,ok,
AK-47 | Elite Build (Minimal Wear),2.99,2.5449086000000003,2.91,2.4768174000000003,3644,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T14:05:04.472571+00:00,ok,
AK-47 | Emerald Pinstripe (Field-Tested),2.73,2.3236122,2.77,2.3576578,1088,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T13:53:16.147113+00:00,ok,
AK-47 | Frontside Misty (Minimal Wear),30.84,26.2491576,30.48,25.9427472,1058,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T14:05:45.235984+00:00,ok,
AK-47 | Head Shot (Battle-Scarred),29.09,24.7596626,29.03,24.7085942,230,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T13:51:40.482397+00:00,ok,
AK-47 | Head Shot (Field-Tested),35.7,30.385698,35.23,29.985662199999997,1517,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T13:45:37.678444+00:00,ok,
AK-47 | Ice Coaled (Field-Tested),4.47,3.8045958,4.41,3.7535274000000003,8366,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T13:56:45.324503+00:00,ok,
AK-47 | Neon Rider (Field-Tested),46.3,39.407782,45.92,39.0843488,993,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T14:01:28.088834+00:00,ok,
AK-47 | Nightwish (Battle-Scarred),64.74,55.102803599999994,63.22,53.8090708,277,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T13:46:06.980318+00:00,ok,
AK-47 | Nouveau Rouge (Battle-Scarred),10.7,9.107198,10.94,9.311471599999999,172,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T13:52:57.632006+00:00,ok,
AK-47 | Nouveau Rouge (Minimal Wear),41.59,35.3989126,41.62,35.4244468,734,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T14:06:17.549725+00:00,ok,
AK-47 | Redline (Battle-Scarred),29.21,24.861799400000002,29.19,24.844776600000003,294,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T14:06:46.661991+00:00,ok,
AK-47 | Redline (Field-Tested),31.51,26.819421400000003,31.23,26.5811022,14832,USD,0.85114,Frankfurter 2026-04-27 (ECB),2026-04-28T13:55:17.148516+00:00,ok,
