item,needs_backfill,model_ready,backfill_reason,has_summary,summary_ready,summary_n_listings,has_fit,fit_ready,fit_n_clean,pred_cv,pred_mean,pred_min,pred_max
StatTrak™ FAMAS | Rapid Eye Movement (Well-Worn),False,True,,True,True,20,True,True,20,0.0292,5.1085,4.92,5.25
USP-S | Printstream (Well-Worn),False,True,,True,True,20,True,True,20,0.0081,37.889,37.49,38.62
Zeus x27 | Olympus (Well-Worn),False,True,,True,True,21,True,True,21,0.0046,2.9405,2.92,2.97
StatTrak™ Galil AR | Chromatic Aberration (Battle-Scarred),False,True,,True,True,22,True,True,22,0.1812,6.6514,5.91,9.43
StatTrak™ P2000 | Wicked Sick (Battle-Scarred),False,True,,True,True,22,True,True,22,0.2095,3.65,3.16,5.49
★ Survival Knife | Damascus Steel (Field-Tested),False,True,,True,True,22,True,True,22,0.0104,62.575,61.54,63.46
StatTrak™ AWP | Ice Coaled (Well-Worn),False,True,,True,True,23,True,True,20,0.0209,13.0535,12.63,13.59
MP9 | Music Box (Field-Tested),False,True,,True,True,23,True,True,23,0.0065,11.3161,11.19,11.49
★ Survival Knife | Urban Masked (Field-Tested),False,True,,True,True,23,True,True,23,0.0262,54.4965,53.09,56.98
M4A4 | Neo-Noir (Battle-Scarred),False,True,,True,True,25,True,True,23,0.0387,29.9364,29.23,33.8
FAMAS | Bad Trip (Battle-Scarred),False,True,,True,True,25,True,True,25,0.0692,49.0164,46.23,58.62
StatTrak™ M4A4 | Tooth Fairy (Battle-Scarred),False,True,,True,True,25,True,True,25,0.0872,7.6208,7.18,9.54
★ Shadow Daggers | Rust Coat (Battle-Scarred),False,True,,True,True,25,True,True,25,0.2046,50.8392,43.46,73.82
★ Hydra Gloves | Mangrove (Battle-Scarred),False,True,,True,True,26,True,True,24,0.016,35.8046,35.09,37.3
M4A1-S | Vaporwave (Battle-Scarred),False,True,,True,True,26,True,True,25,0.0219,52.5331,51.58,57.52
StatTrak™ AK-47 | Nightwish (Battle-Scarred),False,True,,True,True,26,True,True,26,0.0924,56.8838,51.52,71.37
★ Falchion Knife | Freehand (Minimal Wear),False,True,,True,True,26,True,True,26,0.0128,86.7227,85.42,89.59
AUG | Death by Puppy (Field-Tested),False,True,,True,True,27,True,True,26,0.0367,4.7485,4.49,5.09
★ Paracord Knife | Boreal Forest (Field-Tested),False,True,,True,True,27,True,True,27,0.0165,47.997,47.0,49.66
Dual Berettas | Royal Consorts (Well-Worn),False,True,,True,True,28,True,True,27,0.0069,3.72,3.68,3.82
G3SG1 | Murky (Factory New),False,True,,True,True,28,True,True,27,0.2379,3.5971,3.05,5.42
FAMAS | Pulse (Field-Tested),False,True,,True,True,28,True,True,28,0.0139,10.7093,10.43,10.91
StatTrak™ FAMAS | Rapid Eye Movement (Minimal Wear),False,True,,True,True,29,True,True,26,0.1651,9.4059,7.27,10.83
P250 | Boreal Forest (Factory New),False,True,,True,True,30,True,True,30,0.1446,7.8307,6.56,9.91
SG 553 | Desert Blossom (Minimal Wear),False,True,,True,True,33,True,True,32,0.0113,12.2,12.08,12.92
AK-47 | Legion of Anubis (Battle-Scarred),False,True,,True,True,33,True,True,33,0.0666,35.107,34.01,42.21
StatTrak™ MP9 | Food Chain (Minimal Wear),False,True,,True,True,35,True,True,32,0.0983,14.2589,13.25,18.47
Tec-9 | Bamboo Forest (Field-Tested),False,True,,True,True,35,True,True,34,0.0193,10.9877,10.74,11.76
M4A4 | Hellish (Battle-Scarred),False,True,,True,True,35,True,True,35,0.1634,25.2983,21.94,33.54
★ Shadow Daggers | Black Laminate (Field-Tested),False,True,,True,True,35,True,True,35,0.0112,43.298,42.86,44.59
StatTrak™ Desert Eagle | Light Rail (Well-Worn),False,True,,True,True,36,True,True,34,0.0355,3.4797,3.39,4.17
