item,risk_pass,high_cv_pass,monitor_pass,pred_cv,pred_range_over_mean,cv_n_listings,cv_source,risk_rule_trend,risk_rule_price,risk_rule_liquidity,risk_rule_tail,risk_rule_listings,base_price,n_listings,avg_discount,median_discount,steam_sales_7d_n,steam_sales_7d_iqr_risk%,steam_sales_7d_downside_risk%,steam_sales_7d_tail_ratio,steam_turnover_proxy,steam_daily_ret_7d,steam_daily_slope_7d,steam_daily_ema_gap_3_14,steam_daily_range_14d_pct,steam_daily_downside_14d_pct,steam_discount_risk_score,risk_collected_at_utc,status,error,sort_by,collected_at_utc,currency,cap_hit,discount_sample_n,avg_ask,avg_predicted,key_trace,steam_sales_7d_mean,steam_sales_7d_median,steam_sales_7d_p10,steam_sales_7d_p25,steam_sales_7d_p75,steam_sales_7d_p90,steam_sales_7d_min,steam_sales_7d_max,steam_sales_7d_band_risk%,steam_daily_ret_3d,trade_days,steam_trade_currency,model_ready,has_summary,summary_ready,has_fit,fit_ready,monitor_pass_before_model_ready
P90 | Ancient Earth (Factory New),True,True,True,0.2284,0.6113828368163629,104.0,summary,True,True,True,True,True,6.25,50,0.294173782215557,0.3006427965004036,145,1.9173292731066267,2.2819977819132014,0.976915763453128,2.9,-0.0007327349331378,0.0018002433147737,-0.0601353513499094,0.3882676443629696,0.0920256645279559,0.2831750965369549,2026-05-01T22:37:21.329945+00:00,ok,,best_deal,2026-04-18T14:34:34.614115+00:00,,True,8,7.26125,10.28125,1/1,5.3199,5.259,5.1376,5.259,5.361,5.4688,4.91,5.974,6.225680933852139,0.0372694428598592,7,3,True,True,True,True,True,True
Dual Berettas | Switch Board (Factory New),True,True,True,0.2139,0.5044932514485965,61.0,summary,True,True,True,True,True,12.29,45,0.267631409239037,0.2605807923072347,62,7.222990625480258,2.7209563789603197,0.9724284894680764,1.3777777777777778,0.0155014483676505,0.0027019028090256,-0.0116563136665648,0.1990594402898773,0.089044792228818,0.2479452707276311,2026-05-01T22:37:40.556299+00:00,ok,,best_deal,2026-04-17T09:49:25.337211+00:00,,False,8,14.11875,19.26875,1/1->1/1,12.3633,12.201,11.8646,11.905,12.798,13.0435,11.619,13.045,9.535480009382612,0.0903206825536924,7,3,True,True,True,True,True,True
SG 553 | Damascus Steel (Factory New),True,True,True,0.1997,0.5802140244728405,77.0,summary,True,True,True,True,True,4.18,50,0.1896956722059954,0.1979362101313321,82,2.504870581686617,2.808491258254681,0.9718274111675128,1.64,-0.0078520770010132,-0.0055829599929158,-0.0745479572108148,0.3390349757467449,0.0485065100842481,0.1700428381608452,2026-05-01T22:40:19.388574+00:00,ok,,best_deal,2026-04-18T17:33:46.748710+00:00,,True,8,5.0325,6.20625,1/1,3.9523,3.94,3.829,3.912,4.011,4.1432,3.429,4.187,7.94980138147408,-0.0324811658639001,7,3,True,True,True,True,True,True
Desert Eagle | Calligraffiti (Factory New),True,True,True,0.1351,0.4621188305564288,130.0,summary,True,True,True,True,True,16.21,50,0.2057365307499747,0.1978374604669941,128,5.561655632703593,5.656924484633179,0.9423541026766128,2.56,0.0166116673192011,-0.0104655130199523,-0.0131204270819672,0.1126760563380282,0.030424735915493,0.1601962858631004,2026-05-01T22:38:58.269513+00:00,ok,,best_deal,2026-04-17T06:51:29.866760+00:00,,True,8,16.825,21.19375,1/1,18.579,18.232,17.181,17.8465,18.8798,19.16,16.415,32.75,10.65181118467086,0.0094412973453292,7,3,True,True,True,True,True,True
Galil AR | Black Sand (Factory New),True,True,True,0.1588,0.47490903725104167,64.0,summary,True,True,True,True,True,22.76,50,0.1865558890703098,0.182921654914605,111,3.276780175782042,4.55969902764016,0.9547525781437364,2.22,0.1000910707316016,0.005554166712358,0.013693491596441,0.1417392675523318,0.0999724050932314,0.1511160162278248,2026-05-01T22:40:37.945632+00:00,ok,,best_deal,2026-04-17T16:22:22.911173+00:00,,True,8,26.32875,32.3325,1/1,24.8262,25.018,23.886,24.5675,25.381,25.78,20.974,26.146,7.629037065680619,0.012210207094689,7,3,True,True,True,True,True,True
P250 | Cyber Shell (Factory New),True,True,True,0.2094,0.5383519915192,55.0,summary,True,True,True,True,True,15.78,33,0.1901024450779317,0.1726443419538824,136,8.052753049785688,3.6729310913287088,0.9627025579215216,4.121212121212121,0.1144343302990897,0.0155793258726222,-0.0263430748927058,0.409568261376896,0.1134925996438003,0.1675605894593603,2026-05-01T22:40:04.169624+00:00,ok,,best_deal,2026-04-18T12:41:11.015141+00:00,,False,8,19.55875,24.12625,1/1->1/1,15.165,14.934,14.377,14.577,15.7982,16.2025,11.496,18.049,12.037586547972303,0.1280221683408382,7,3,True,True,True,True,True,True
AUG | Amber Fade (Factory New),True,True,True,0.2081,0.6454511418944217,145.0,summary,True,True,True,True,True,13.93,50,0.1721782640680775,0.1667389133884391,183,2.530201773550953,3.535856573705186,0.964520029015878,3.66,0.0280790005360163,-0.0048474922534824,-0.0413312072099005,0.2612496992059036,0.0332878800032085,0.1501874166648256,2026-05-01T22:42:14.139771+00:00,ok,,best_deal,2026-04-17T01:49:56.720847+00:00,,True,8,18.575,22.42125,1/1,12.4496,12.407,11.9668,12.224,12.539,12.943,9.491,19.878,7.84121578203316,0.0344341188184533,7,3,True,True,True,True,True,True
Five-SeveN | Scumbria (Factory New),True,True,True,0.1706,0.48757850447050094,33.0,summary,True,True,True,True,True,14.63,26,0.1669162791125297,0.1550661761114819,69,3.010880226272217,4.534568098355428,0.9553325344517676,2.6538461538461537,0.0281841983674726,-0.0012082192962546,-0.0456699255067878,0.2268573996405032,0.0274116237267824,0.132825603275336,2026-05-01T22:43:05.494738+00:00,ok,,best_deal,2026-04-17T12:51:03.665482+00:00,,False,8,17.44875,20.915,1/1->1/1,13.1523,13.352,12.7556,13.049,13.445,13.5642,8.127,13.641,6.147974118595228,0.0195479535736102,7,3,True,True,True,True,True,True
Galil AR | Akoben (Factory New),True,True,True,0.1899,0.5311020130935984,65.0,summary,True,True,True,True,True,8.48,50,0.1517834832158681,0.1465110139817674,222,7.237229084656793,5.463553685353589,0.9455651977910516,4.44,0.0733718550619957,-0.0089414508722598,-0.0365183929336154,0.2909213256322547,0.0683564178769695,0.1118599243562958,2026-05-01T22:45:23.085952+00:00,ok,,best_deal,2026-04-17T16:19:36.873351+00:00,,True,8,10.1075,11.90625,1/1,8.8404,8.873,8.39,8.5252,9.165,9.275,7.403,9.846,10.010859237138588,0.0446983011130637,7,3,True,True,True,True,True,True
AWP | Acheron (Factory New),True,True,True,0.1811,0.8235424167772093,129.0,summary,True,True,True,True,True,15.04,50,0.1355556919708854,0.1407115438256271,481,6.959547629404095,5.551418818793728,0.9447987684187376,9.62,0.0998218159281065,0.0012128053694286,-0.0166885063806702,0.2398478498221392,0.0907618074877611,0.1005639941178571,2026-05-01T22:49:09.413720+00:00,ok,,best_deal,2026-04-17T03:49:15.834865+00:00,,True,8,17.03625,19.72,1/1,13.5641,13.641,12.888,13.088,14.032,14.245,9.885,14.636,10.004349717268372,0.0916186082276047,7,3,True,True,True,True,True,True
Glock-18 | Wraiths (Factory New),True,True,True,0.1586,0.43416576927678924,67.0,summary,True,True,True,True,True,19.34,42,0.1390992609375072,0.1404658834826649,121,7.382574924891926,8.652695342077623,0.9146488374894592,2.880952380952381,0.0412774551880839,-0.0111263250667009,-0.0846629822654957,0.3847739119893321,0.0695235786155897,0.0643510737968521,2026-05-01T22:48:21.911325+00:00,ok,,best_deal,2026-04-17T20:11:20.103336+00:00,,False,8,23.08125,26.81,1/1->1/1,16.3764,16.602,15.185,15.751,16.96,17.121,11.898,23.176,11.821890036882332,-0.0277851439347063,7,3,True,True,True,True,True,True
