item,status,error,sort_by,collected_at_utc,base_price,currency,n_listings,cap_hit,discount_sample_n,avg_discount,median_discount,avg_ask,avg_predicted,key_trace,steam_sales_7d_mean,steam_sales_7d_median,steam_sales_7d_p10,steam_sales_7d_p25,steam_sales_7d_p75,steam_sales_7d_p90,steam_sales_7d_min,steam_sales_7d_max,steam_sales_7d_n,steam_sales_7d_iqr_risk%,steam_sales_7d_band_risk%,steam_sales_7d_downside_risk%,steam_sales_7d_tail_ratio,steam_turnover_proxy,steam_discount_risk_score,steam_daily_ret_3d,steam_daily_ret_7d,steam_daily_slope_7d,steam_daily_ema_gap_3_14,steam_daily_range_14d_pct,steam_daily_downside_14d_pct,trade_days,steam_trade_currency,risk_collected_at_utc,risk_rule_trend,risk_rule_price,risk_rule_liquidity,risk_rule_tail,risk_rule_listings,risk_pass
AK-47 | Aphrodite (Minimal Wear),ok,,best_deal,2026-04-17T00:32:36.971279+00:00,45.92,,50,True,8,-0.0098842031510376,-0.0050087108013937,46.38375,45.93,1/1,58.3155,54.9795,50.4969,52.0007,58.901,65.0324,46.935,177.34,214,11.832703140674438,24.925620118150405,7.6868071096020865,0.918467792540856,4.28,-0.0722995957963822,-0.0618226512595994,-0.0549380038318331,-0.0202544522054235,,0.1235309305461257,0.0054794258556224,7,3,2026-06-22T01:29:46.673805+00:00,True,True,True,True,True,True
AK-47 | Aquamarine Revenge (Battle-Scarred),ok,,best_deal,2026-04-17T00:32:43.053753+00:00,41.59,,50,True,8,0.011086361084951,0.00996374884462,40.8875,41.3475,1/1,37.8905,37.206,35.7464,36.273,38.768,40.2462,32.866,55.0,83,6.584763990973984,11.875800002639185,3.852152914318897,0.960769768316938,1.66,-0.0189375353256166,0.0204112017974853,-0.0258812280339051,-0.0078104894634739,-0.0075363331391682,0.1019910066455317,0.0377110719070421,7,3,2026-06-21T23:13:51.617050+00:00,True,True,True,True,True,True
AK-47 | Aquamarine Revenge (Field-Tested),ok,,best_deal,2026-04-17T00:32:52.674079+00:00,42.43,,50,True,8,0.0006209828401829,0.0,43.3375,43.36125,1/1,49.4455,48.612,47.1393,48.0108,49.7465,51.7163,43.09,66.823,132,3.5103295547623024,9.25665631857297,2.9784307975447777,0.9697050111083684,2.64,-0.0179412974622837,-0.0001344169406705,0.0158948606967264,-0.0006477404944982,,0.0804128188953578,0.0156461670510128,7,3,2026-06-22T00:14:08.970634+00:00,True,True,True,True,True,True
AK-47 | Asiimov (Field-Tested),ok,,best_deal,2026-04-17T00:33:32.182464+00:00,43.59,,50,True,8,0.0292555578484883,0.0291526480507544,49.83,51.3325,1/1,50.9076,50.7265,48.527,49.74,52.2317,53.693,44.148,56.485,538,4.894554054797308,10.147797185488995,4.320572959636676,0.9566400205021044,10.76,0.0074579746869239,0.0060326193751227,0.0063094582907461,0.0035139957505704,0.0056736018647585,0.0700431665917924,0.0380491044397132,7,3,2026-06-21T22:18:30.628875+00:00,True,True,True,True,True,True
AK-47 | B the Monster (Field-Tested),ok,,best_deal,2026-04-17T00:34:01.693595+00:00,230.37,,50,True,8,-0.0182251565173772,-0.0179612367672251,243.955,239.5125,1/1,165.1264,157.846,151.7745,154.6207,165.5473,197.2667,139.163,235.562,62,6.617112708809741,27.54992539048874,3.676880256579211,0.9615352938940486,1.24,-0.047988998716486,-0.0330236109042157,-0.0619490606936418,-0.011602194370881,,0.2009769467525508,0.003071412753584,7,3,2026-06-22T02:37:12.998577+00:00,True,True,True,True,True,True
AK-47 | Baroque Purple (Field-Tested),ok,,best_deal,2026-04-17T00:34:39.590209+00:00,6.04,,50,True,8,0.0499464544927371,0.0492063492063491,5.99125,6.30625,1/1,7.1633,6.905,6.5803,6.648,7.1118,7.4742,6.208,13.253,90,6.4746694959027264,12.47888542989962,4.532827048985802,0.9529761042722664,1.8,0.0135613446297234,0.0158846889248418,-0.0349308369428531,-0.0104879500508584,-0.0198323687829791,0.1068481250904878,0.0399594614159548,7,3,2026-06-21T21:53:52.792540+00:00,True,True,True,True,True,True
AK-47 | Bloodsport (Factory New),ok,,best_deal,2026-04-17T00:35:35.344003+00:00,205.14,,50,True,8,-0.0250396778944154,-0.0245990774967389,208.45375,203.36625,1/1,220.5886,220.018,209.9436,213.997,222.783,229.8644,206.207,280.913,67,3.982980081472919,9.030747735830404,4.567053782471079,0.9542110190984374,1.34,-0.0633258985709233,-0.0476545657967745,0.0021344819334769,-0.0067033967310545,-0.0212249276567411,0.1046199545359034,0.0021299356243672,7,3,2026-06-22T03:26:25.208065+00:00,True,True,True,True,True,True
AK-47 | Bloodsport (Field-Tested),ok,,best_deal,2026-04-17T00:35:39.334291+00:00,146.32,,50,True,8,0.0026589425227556,0.0010135819987837,148.57625,148.98125,1/1,165.9129,162.2005,156.576,157.521,175.0567,181.4677,149.508,184.301,64,10.569220355981976,15.00287198885681,3.390031757627051,0.9653237813693544,1.28,-0.0240826781135058,-0.047212288210119,-0.0234175009314119,-0.0170814532110989,,0.152251764430798,0.0319412738359679,7,3,2026-06-22T00:02:31.921086+00:00,True,True,True,True,True,True
AK-47 | Bloodsport (Minimal Wear),ok,,best_deal,2026-04-17T00:35:42.978310+00:00,165.66,,50,True,8,-0.0061325296057399,-0.0049732915822434,167.845,166.8275,1/1,186.7531,185.29,175.4736,177.399,194.947,198.536,161.409,227.261,59,9.39636343386,12.34913905043611,5.256351835658946,0.947021425872956,1.18,-0.0519269180902372,-0.0267027300793646,0.0075183357037285,-0.0115327889203977,,0.1211062703785919,0.0102411939571419,7,3,2026-06-22T01:03:16.899717+00:00,True,True,True,True,True,True
AK-47 | Blue Laminate (Field-Tested),ok,,best_deal,2026-04-17T00:36:03.552052+00:00,16.66,,50,True,8,-0.0057190881588307,-0.0011806375442738,17.14375,17.04375,1/1,18.5261,18.174,17.5056,17.849,18.766,19.61,14.96,32.475,225,4.9497735627034185,11.35910958053772,3.6078829327273327,0.9632221855397822,4.5,-0.0269906636962191,-0.0248565965583172,-0.0573759670477649,-0.0042276462506749,-0.0316699799521571,0.1428571428571428,0.0098599439775911,7,3,2026-06-22T01:01:12.405438+00:00,True,True,True,True,True,True
AK-47 | Blue Laminate (Minimal Wear),ok,,best_deal,2026-04-17T00:36:08.843362+00:00,17.29,,50,True,8,-0.0045471924290417,-0.0043252595155709,17.43,17.35125,1/1,22.205,20.7145,19.1733,19.9275,22.0025,23.383,18.235,124.725,164,9.344742175185782,18.958342715604587,6.940779103805449,0.925598011055058,3.28,-0.0613261080868327,0.0085466004583651,-0.0180372832504299,0.0002553386082129,,0.1200113620224399,0.0550584670738058,7,3,2026-06-22T00:54:44.811434+00:00,True,True,True,True,True,True
