item,status,error,sort_by,collected_at_utc,base_price,currency,n_listings,cap_hit,discount_sample_n,avg_discount,median_discount,avg_ask,avg_predicted,key_trace,steam_sales_7d_mean,steam_sales_7d_median,steam_sales_7d_p10,steam_sales_7d_p25,steam_sales_7d_p75,steam_sales_7d_p90,steam_sales_7d_min,steam_sales_7d_max,steam_sales_7d_n,steam_sales_7d_iqr_risk%,steam_sales_7d_band_risk%,steam_sales_7d_downside_risk%,steam_sales_7d_tail_ratio,steam_turnover_proxy,steam_discount_risk_score,steam_daily_ret_3d,steam_daily_ret_7d,steam_daily_slope_7d,steam_daily_ema_gap_3_14,steam_daily_range_14d_pct,steam_daily_downside_14d_pct,trade_days,steam_trade_currency,risk_collected_at_utc
AK-47 | Aphrodite (Factory New),ok,,best_deal,2026-04-17T00:32:28.693179+00:00,470.0,,50,True,8,-0.0123457078182232,-0.0092446808510638,475.84875,470.04625,1/1,658.8763,655.0855,625.6955,638.4357,677.0895,699.9951,621.94,700.0,8,5.866624736691857,11.276714612439381,4.460624854771675,0.9551356273341419,0.16,-0.05566279658140158,0.1255104994050873,0.019620409887404877,0.012164553358217312,,0.2006085714285715,0.11187571428571427,7,3,2026-06-25T01:50:32.974226+00:00
AK-47 | Aphrodite (Minimal Wear),ok,,best_deal,2026-04-17T00:32:36.971279+00:00,45.92,,50,True,8,-0.0098842031510376,-0.0050087108013937,46.38375,45.93,1/1,57.6844,55.029,50.421,52.005,60.018,64.5866,46.935,104.349,237,13.891104007322602,24.55707262275417,7.98829492895827,0.9162623344054952,4.74,-0.07458891459266084,0.6909202860796666,0.6014318524366613,0.0700250506155705,0.22846351348501304,0.4170597528319011,0.4170597528319011,7,3,2026-06-25T01:32:13.932254+00:00
AK-47 | Aquamarine Revenge (Battle-Scarred),ok,,best_deal,2026-04-17T00:32:43.053753+00:00,41.59,,50,True,8,0.011086361084951,0.00996374884462,40.8875,41.3475,1/1,37.0699,36.856,35.2352,35.738,37.375,39.6836,32.866,55.0,77,4.41598169943809,12.000032371276966,4.372280475534066,0.9560234425873669,1.54,-0.024539769337990902,-0.05888126915067193,-0.02746936425692914,-0.003655000688695572,-0.021548358063801287,0.1308668076109936,0.0,7,3,2026-06-24T23:16:03.976094+00:00
AK-47 | Aquamarine Revenge (Factory New),ok,,best_deal,2026-04-17T00:32:47.137024+00:00,265.6,,50,True,8,-0.0281479153093054,-0.0349227170953782,290.58,283.11875,1/1,267.078,276.773,229.2872,259.124,284.727,297.1128,209.396,305.37,4,9.586338073521576,25.395427552999493,17.779749736032176,0.8284305188728669,0.08,-0.20527693755988818,0.3268925862958223,-0.06682922241925959,0.04434718776465214,,0.34542156446376776,0.24635949410824706,7,3,2026-06-25T03:49:29.334340+00:00
AK-47 | Aquamarine Revenge (Field-Tested),ok,,best_deal,2026-04-17T00:32:52.674079+00:00,42.43,,50,True,8,0.0006209828401829,0.0,43.3375,43.36125,1/1,49.4936,48.993,46.989,47.8708,50.0,53.221,43.09,67.826,136,4.3019703557631646,12.591526985307189,4.049008356636019,0.9590961974159573,2.72,-0.028458241928539338,-0.04359806502969821,-0.031019294000868558,-0.006971263165018933,-0.026425265172127954,0.09870456922124762,0.0,7,3,2026-06-25T00:15:53.370609+00:00
AK-47 | Aquamarine Revenge (Minimal Wear),ok,,best_deal,2026-04-17T00:32:58.323907+00:00,73.6,,50,True,8,-0.0014349808811427,0.0004162619675314,72.48875,72.3825,1/1,85.157,85.739,77.133,80.87,87.26,92.297,74.1,102.656,45,7.503787122608829,17.807109221790345,10.106039433047206,0.8996256079497077,0.9,-0.09692030319255819,0.02438054856234273,0.0701625233591936,0.012707728142349804,,0.13743958796345296,0.0810432614856363,7,3,2026-06-25T00:35:51.049545+00:00
AK-47 | Aquamarine Revenge (Well-Worn),ok,,best_deal,2026-04-17T00:33:02.511494+00:00,37.77,,50,True,8,-0.0272900932534091,-0.0293690002523201,38.17125,37.1575,1/1,38.9388,38.384,36.7908,37.1325,40.448,41.0306,34.48,48.202,75,8.514643491838475,10.888368414024065,4.09154878938232,0.9584931221342226,1.5,-0.06024678097379155,-0.01658899807516967,-0.0878573609903921,0.004713272460814306,,0.1436040073141209,0.04638285817301507,7,3,2026-06-25T03:45:12.294255+00:00
AK-47 | Asiimov (Field-Tested),ok,,best_deal,2026-04-17T00:33:32.182464+00:00,43.59,,50,True,8,0.0292555578484883,0.0291526480507544,49.83,51.3325,1/1,50.8677,50.73,48.527,49.74,52.127,53.605,42.385,58.178,535,4.69256522311801,9.98275919689704,4.330842558244222,0.9565740193179579,10.7,0.007310849500969309,-0.014649295857179112,0.010820125433306016,0.0006091219496019429,0.0014029002764439635,0.04370923939976606,0.02374769560132417,7,3,2026-06-24T22:19:40.411865+00:00
AK-47 | B the Monster (Field-Tested),ok,,best_deal,2026-04-17T00:34:01.693595+00:00,230.37,,50,True,8,-0.0182251565173772,-0.0179612367672251,243.955,239.5125,1/1,160.932,156.51,148.159,151.114,162.407,166.294,139.163,270.469,75,7.017249521537051,11.268734620833657,5.189148211667039,0.946642387067919,1.5,-0.06215783846060684,0.07882999482298603,0.00888201996126936,0.00748155900241262,0.004199053832101285,0.1208726306269725,0.07306989535076877,7,3,2026-06-25T02:37:08.303953+00:00
AK-47 | B the Monster (Minimal Wear),ok,,best_deal,2026-04-17T00:34:06.949880+00:00,406.1,,50,True,8,0.0052613979193507,0.0061811626486998,404.99375,407.11125,1/1,280.6942,281.239,263.4548,264.0922,294.672,299.3699,254.73,309.051,34,10.894346944112145,12.795098723094384,6.335791761995793,0.9367648156905692,0.68,-0.05359033406608997,-0.04386054283152663,-0.05977491317125305,0.013834777735674588,-0.0010742544666868525,0.1410345207269989,0.06678245797237335,7,3,2026-06-24T23:44:35.723356+00:00
AK-47 | Baroque Purple (Factory New),ok,,best_deal,2026-04-17T00:34:34.958208+00:00,139.8,,50,True,8,0.0341026632154147,0.0215924930173928,156.40125,162.27625,1/1,113.8136,115.089,109.0692,113.107,116.446,118.2422,103.494,119.006,7,2.933744297693772,8.059669494682534,5.289174580190772,0.9476943930349555,0.14,-0.017650985559763566,0.13758285504473688,0.021970104685682612,0.012662355914113636,,0.1644398766700925,0.12094315102817395,7,3,2026-06-24T22:11:04.966032+00:00
AK-47 | Baroque Purple (Field-Tested),ok,,best_deal,2026-04-17T00:34:39.590209+00:00,6.04,,50,True,8,0.0499464544927371,0.0492063492063491,5.99125,6.30625,1/1,6.981,6.66,6.255,6.52,6.9638,7.7406,5.822,13.087,102,6.357255407534742,21.28061882251826,5.801461108723682,0.9391891891891891,2.04,0.0015893150776753549,-0.052917330244679484,-0.06039931054294756,-0.007101466601004255,-0.03839401382592189,0.1352900710846136,0.008790032867079297,7,3,2026-06-24T21:53:56.539564+00:00
AK-47 | Baroque Purple (Minimal Wear),ok,,best_deal,2026-04-17T00:34:43.973465+00:00,16.18,,50,True,8,0.0193543045725417,0.0230135529516881,16.84875,17.18,1/1,14.2818,13.6955,13.0007,13.238,14.589,17.4146,7.023,20.529,52,9.45959192818833,30.905768180481452,4.8649329916397015,0.9492680077397686,1.04,-0.023102421995337342,-0.014309105147006562,-0.03529001916042496,0.00695894960270403,-0.021723346717276826,0.1758630651451683,0.037989310992344344,7,3,2026-06-24T22:42:12.364314+00:00
AK-47 | Black Laminate (Minimal Wear),ok,,best_deal,2026-04-17T00:35:18.513081+00:00,101.26,,50,True,8,0.0298122213624749,0.0310673013732243,98.26375,101.28625,1/1,103.9409,93.225,81.943,90.164,122.497,124.49,80.949,133.848,21,31.107100284873425,40.933838363916415,10.854245056565794,0.8789809600429069,0.42,-0.07568446231552192,-0.06156985485900146,0.5327653176293696,0.06795942457375512,,0.4131938199950952,0.34758440284476416,7,3,2026-06-24T22:18:33.927221+00:00
AK-47 | Bloodsport (Factory New),ok,,best_deal,2026-04-17T00:35:35.344003+00:00,205.14,,50,True,8,-0.0250396778944154,-0.0245990774967389,208.45375,203.36625,1/1,221.6252,219.874,207.825,213.414,222.76,230.3462,205.007,281.41,54,4.217029471377805,10.161840801497313,5.436656120332889,0.9452004329752495,1.08,-0.07304497239848906,0.02258523437464488,0.0375487691271823,0.00040030372068617607,,0.07322206418348298,0.07322206418348298,7,3,2026-06-25T03:26:25.039639+00:00
AK-47 | Bloodsport (Field-Tested),ok,,best_deal,2026-04-17T00:35:39.334291+00:00,146.32,,50,True,8,0.0026589425227556,0.0010135819987837,148.57625,148.98125,1/1,166.002,163.548,156.576,157.527,171.072,179.3134,125.412,272.249,85,8.159540246503063,13.697063890796501,4.199949398200027,0.9573703133025167,1.7,-0.030713276176064924,0.04576136650319662,-0.06654327056426257,0.007520195346128388,,0.1444067218188452,0.07311978535368406,7,3,2026-06-25T00:04:13.212168+00:00
