market_hash_name,listing_id,asset_id,ask,ask_seller_net,float_value,paint_seed,asset_properties_json,converted_price,converted_fee,converted_currencyid,scm_total_listings
AK-47 | Midnight Laminate (Battle-Scarred),503989854968272499,52780567117,2.77,2.41,0.71434903144836,495,,241,36,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),511871153592786963,52635434166,2.78,2.42,0.73746174573898,162,,242,36,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),589558247161534936,52773212010,2.8,2.44,0.64942240715027,274,,244,36,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),589558247161535224,52772807826,2.8,2.44,0.71218633651733,808,,244,36,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),729169836336306401,52708996866,2.81,2.45,0.59461230039597,719,,245,36,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),527633663850848053,52616336202,2.85,2.49,0.72176259756088,57,,249,36,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),527633663850846937,52595740551,2.85,2.49,0.61448675394058,537,,249,36,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),527633663850847189,52584603287,2.85,2.49,0.62456679344177,531,,249,36,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),527633663850847333,52584205436,2.85,2.49,0.63992595672607,571,,249,36,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),527633663850847513,52585558582,2.85,2.49,0.6494996547699,955,,249,36,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),527633663850847873,52616746820,2.85,2.49,0.71252036094666,400,,249,36,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),527633663850847405,52634127731,2.85,2.49,0.64214611053467,142,,249,36,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),527633663850847585,52601250558,2.85,2.49,0.67495405673981,18,,249,36,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),527633663850847765,52584765546,2.85,2.49,0.69330751895905,748,,249,36,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),728043935706906887,52717782428,2.85,2.49,0.72981703281403,121,,249,36,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),660489942018422169,52420860037,2.85,2.49,0.62161511182785,998,,249,36,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),523130153381656069,52896302662,2.85,2.49,0.62737214565277,492,,249,36,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),501737513723239592,52556477163,2.87,2.5,0.66920828819275,926,,250,37,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),501737513723239664,52548704695,2.87,2.5,0.70935392379761,936,,250,37,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),501737513723239448,52567040910,2.87,2.5,0.67726004123688,763,,250,37,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),501737513723239520,52564467910,2.87,2.5,0.61268627643585,856,,250,37,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),586180547440352297,52328409680,2.88,2.51,0.5752557516098,539,,251,37,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),508493365436592540,52772679481,2.89,2.52,0.66010701656342,706,,252,37,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),499486166163316435,52695594519,2.89,2.52,0.71140098571777,183,,252,37,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),499486166163242923,52698696867,2.89,2.52,0.74613499641418,829,,252,37,2003,295
AK-47 | Midnight Laminate (Battle-Scarred),490479056080291725,52770714256,2.9,2.53,0.66316914558411,252,,253,37,2003,295
