item,status,error,sort_by,collected_at_utc,base_price,currency,n_listings,cap_hit,discount_sample_n,avg_discount,median_discount,avg_ask,avg_predicted,key_trace
AK-47 | Aphrodite (Battle-Scarred),ok,,best_deal,2026-04-17T00:32:24.854338+00:00,16.57,,50,True,8,-0.1038774894387446,-0.104405552202776,18.29125,16.57,1/1
AK-47 | Aphrodite (Factory New),ok,,best_deal,2026-04-17T00:32:28.693179+00:00,470.0,,50,True,8,-0.0123457078182232,-0.0092446808510638,475.84875,470.04625,1/1
AK-47 | Aphrodite (Field-Tested),ok,,best_deal,2026-04-17T00:32:31.877135+00:00,20.96,,50,True,8,-0.088823051488367,-0.1073473282442747,24.835,22.895,1/1
AK-47 | Aphrodite (Minimal Wear),ok,,best_deal,2026-04-17T00:32:36.971279+00:00,45.92,,50,True,8,-0.0098842031510376,-0.0050087108013937,46.38375,45.93,1/1
AK-47 | Aphrodite (Well-Worn),ok,,best_deal,2026-04-17T00:32:40.145863+00:00,16.29,,50,True,8,-0.0782569136496796,-0.060159607120933,17.7025,16.41125,1/1
AK-47 | Aquamarine Revenge (Battle-Scarred),ok,,best_deal,2026-04-17T00:32:43.053753+00:00,41.59,,50,True,8,0.011086361084951,0.00996374884462,40.8875,41.3475,1/1
AK-47 | Aquamarine Revenge (Factory New),ok,,best_deal,2026-04-17T00:32:47.137024+00:00,265.6,,50,True,8,-0.0281479153093054,-0.0349227170953782,290.58,283.11875,1/1
AK-47 | Aquamarine Revenge (Field-Tested),ok,,best_deal,2026-04-17T00:32:52.674079+00:00,42.43,,50,True,8,0.0006209828401829,0.0,43.3375,43.36125,1/1
AK-47 | Aquamarine Revenge (Minimal Wear),ok,,best_deal,2026-04-17T00:32:58.323907+00:00,73.6,,50,True,8,-0.0014349808811427,0.0004162619675314,72.48875,72.3825,1/1
AK-47 | Aquamarine Revenge (Well-Worn),ok,,best_deal,2026-04-17T00:33:02.511494+00:00,37.77,,50,True,8,-0.0272900932534091,-0.0293690002523201,38.17125,37.1575,1/1
AK-47 | Asiimov (Battle-Scarred),ok,,best_deal,2026-04-17T00:33:16.353083+00:00,43.07,,36,False,8,-0.0517804158554439,-0.0622227915612929,44.7075,42.526250000000005,1/1->1/1
AK-47 | Asiimov (Factory New),ok,,best_deal,2026-04-17T00:33:26.716735+00:00,600.94,,44,False,8,0.024704134287473,0.0229309911814267,614.38375,629.9024999999999,1/1->1/1
AK-47 | Asiimov (Field-Tested),ok,,best_deal,2026-04-17T00:33:32.182464+00:00,43.59,,50,True,8,0.0292555578484883,0.0291526480507544,49.83,51.3325,1/1
AK-47 | Asiimov (Minimal Wear),ok,,best_deal,2026-04-17T00:33:36.724392+00:00,57.25,,50,True,8,-0.0710662267871254,-0.070664901824557,58.75875,54.86375,1/1
AK-47 | Asiimov (Well-Worn),ok,,best_deal,2026-04-17T00:33:45.811160+00:00,43.87,,36,False,8,-0.051438873146765,-0.0525941432084093,44.04,41.885,1/1->1/1
AK-47 | B the Monster (Battle-Scarred),ok,,best_deal,2026-04-17T00:33:51.310038+00:00,101.39,,50,True,8,-0.0820303459561391,-0.0837129291859662,109.4525,101.16375,1/1
AK-47 | B the Monster (Factory New),ok,,best_deal,2026-04-17T00:33:56.269601+00:00,1085.39,,50,True,8,0.0107518833839937,0.0075328377007806,1245.3425,1260.59,1/1
AK-47 | B the Monster (Field-Tested),ok,,best_deal,2026-04-17T00:34:01.693595+00:00,230.37,,50,True,8,-0.0182251565173772,-0.0179612367672251,243.955,239.5125,1/1
AK-47 | B the Monster (Minimal Wear),ok,,best_deal,2026-04-17T00:34:06.949880+00:00,406.1,,50,True,8,0.0052613979193507,0.0061811626486998,404.99375,407.11125,1/1
AK-47 | B the Monster (Well-Worn),ok,,best_deal,2026-04-17T00:34:18.378643+00:00,181.78,,32,False,8,-0.060572183930632,-0.0565400967157637,193.3525,182.305,1/1->1/1
AK-47 | Baroque Purple (Battle-Scarred),ok,,best_deal,2026-04-17T00:34:30.667930+00:00,5.92,,48,False,8,-0.1266956248744355,-0.0939430641361838,6.8475,6.06875,1/1->1/1
AK-47 | Baroque Purple (Factory New),ok,,best_deal,2026-04-17T00:34:34.958208+00:00,139.8,,50,True,8,0.0341026632154147,0.0215924930173928,156.40125,162.27625,1/1
AK-47 | Baroque Purple (Field-Tested),ok,,best_deal,2026-04-17T00:34:39.590209+00:00,6.04,,50,True,8,0.0499464544927371,0.0492063492063491,5.99125,6.30625,1/1
AK-47 | Baroque Purple (Minimal Wear),ok,,best_deal,2026-04-17T00:34:43.973465+00:00,16.18,,50,True,8,0.0193543045725417,0.0230135529516881,16.84875,17.18,1/1
AK-47 | Baroque Purple (Well-Worn),ok,,best_deal,2026-04-17T00:34:54.157706+00:00,5.87,,44,False,8,-0.1447038557987253,-0.1819714855128007,6.75125,5.89875,1/1->1/1
AK-47 | Black Laminate (Battle-Scarred),ok,,best_deal,2026-04-17T00:34:58.391093+00:00,40.69,,50,True,8,-0.1477837000552394,-0.1549997695882873,44.71125,38.965,1/1
AK-47 | Black Laminate (Factory New),ok,,best_deal,2026-04-17T00:35:09.535220+00:00,361.17,,20,False,8,-0.1270902540306982,-0.1889415923327695,400.0225,354.51875,1/1->1/1
AK-47 | Black Laminate (Field-Tested),ok,,best_deal,2026-04-17T00:35:13.921420+00:00,38.87,,50,True,8,-0.0586984319402559,-0.0480630507654463,40.43625,38.18875,1/1
AK-47 | Black Laminate (Minimal Wear),ok,,best_deal,2026-04-17T00:35:18.513081+00:00,101.26,,50,True,8,0.0298122213624749,0.0310673013732243,98.26375,101.28625,1/1
AK-47 | Black Laminate (Well-Worn),ok,,best_deal,2026-04-17T00:35:31.252586+00:00,43.55,,25,False,8,-0.14410282184063,-0.0866464712829587,46.87125,40.96,1/1->1/1
AK-47 | Bloodsport (Factory New),ok,,best_deal,2026-04-17T00:35:35.344003+00:00,205.14,,50,True,8,-0.0250396778944154,-0.0245990774967389,208.45375,203.36625,1/1
AK-47 | Bloodsport (Field-Tested),ok,,best_deal,2026-04-17T00:35:39.334291+00:00,146.32,,50,True,8,0.0026589425227556,0.0010135819987837,148.57625,148.98125,1/1
AK-47 | Bloodsport (Minimal Wear),ok,,best_deal,2026-04-17T00:35:42.978310+00:00,165.66,,50,True,8,-0.0061325296057399,-0.0049732915822434,167.845,166.8275,1/1
AK-47 | Bloodsport (Well-Worn),ok,,best_deal,2026-04-17T00:35:54.491335+00:00,145.8,,30,False,8,-0.0264270036251183,-0.0297881081983163,147.28375,143.5,1/1->1/1
AK-47 | Blue Laminate (Factory New),ok,,best_deal,2026-04-17T00:35:58.552687+00:00,61.86,,50,True,8,0.0211534862663988,0.0125895137748585,59.76875,61.105,1/1
AK-47 | Blue Laminate (Field-Tested),ok,,best_deal,2026-04-17T00:36:03.552052+00:00,16.66,,50,True,8,-0.0057190881588307,-0.0011806375442738,17.14375,17.04375,1/1
