market_hash_name,listing_id,asset_id,ask,ask_seller_net,float_value,paint_seed,asset_properties_json,converted_price,converted_fee,converted_currencyid,scm_total_listings
MP9 | Airlock (Field-Tested),643593816545208757,51154506920,13.5,11.75,0.27694302797318,194,,1175.0,175,2003.0,80
MP9 | Airlock (Field-Tested),633460717424733781,8312259678,14.0,12.19,0.30115190148354,471,,1219.0,181,2003.0,80
MP9 | Airlock (Field-Tested),627831217914708968,47347353324,14.0,12.19,0.3735998570919,322,,1219.0,181,2003.0,80
MP9 | Airlock (Field-Tested),627831217914710480,47334458397,14.0,12.19,0.32062298059464,58,,1219.0,181,2003.0,80
MP9 | Airlock (Field-Tested),627831217914708176,47340702685,14.0,12.19,0.27507936954498,98,,1219.0,181,2003.0,80
MP9 | Airlock (Field-Tested),627831217914710804,47328390029,14.0,12.19,0.33856230974197,493,,1219.0,181,2003.0,80
MP9 | Airlock (Field-Tested),627831217914710012,47336876999,14.0,12.19,0.27990683913231,54,,1219.0,181,2003.0,80
MP9 | Airlock (Field-Tested),659356415330378050,50850672665,14.68,12.78,0.37812954187393,404,,1278.0,190,2003.0,80
MP9 | Airlock (Field-Tested),650348605672321282,50527515212,15.0,13.05,0.34582805633545,481,,1305.0,195,2003.0,80
MP9 | Airlock (Field-Tested),623327618309715062,50794252893,15.06,13.1,0.27441993355751,85,,1310.0,196,2003.0,80
MP9 | Airlock (Field-Tested),623327618309715278,50801514373,15.06,13.1,0.31209045648575,551,,1310.0,196,2003.0,80
MP9 | Airlock (Field-Tested),660482407756245082,51182018279,15.07,13.11,0.31311637163162,846,,1311.0,196,2003.0,80
MP9 | Airlock (Field-Tested),794463791561203979,43725703080,15.08,13.12,0.21205446124077,424,,1312.0,196,2003.0,80
MP9 | Airlock (Field-Tested),623327618309715350,51006472401,15.08,13.12,0.21107369661331,201,,1312.0,196,2003.0,80
MP9 | Airlock (Field-Tested),643593816530059957,18995986238,15.2,13.22,0.25913864374161,397,,1322.0,198,2003.0,80
MP9 | Airlock (Field-Tested),696510501845775870,51038072750,15.21,13.23,0.17889599502087,638,,1323.0,198,2003.0,80
MP9 | Airlock (Field-Tested),648096075393831074,50814240416,15.38,13.39,0.36448305845261,263,,1339.0,199,2003.0,80
MP9 | Airlock (Field-Tested),710006633890382782,37705281378,15.38,13.39,0.31028416752815,446,,1339.0,199,2003.0,80
MP9 | Airlock (Field-Tested),639090217026669345,44792503860,15.54,13.52,0.26002472639084,433,,1352.0,202,2003.0,80
MP9 | Airlock (Field-Tested),658229174540629761,50841999769,15.59,13.57,0.36972844600677,150,,1357.0,202,2003.0,80
MP9 | Airlock (Field-Tested),643592475759687875,50855431810,15.61,13.59,0.25229352712631,281,,1359.0,202,2003.0,80
MP9 | Airlock (Field-Tested),630081676859775018,26525415034,15.67,13.63,0.24593046307564,723,,1363.0,204,2003.0,80
MP9 | Airlock (Field-Tested),627826710272459604,43960773447,15.72,13.68,0.26283058524132,994,,1368.0,204,2003.0,80
MP9 | Airlock (Field-Tested),793326475923719661,41073112648,15.72,13.68,0.31564730405807,50,,1368.0,204,2003.0,80
MP9 | Airlock (Field-Tested),626703343150996612,47278629954,15.8,13.75,0.28612488508224,949,,1375.0,205,2003.0,80
MP9 | Airlock (Field-Tested),659355708659148049,13479495560,15.81,13.76,0.36086022853851,749,,1376.0,205,2003.0,80
MP9 | Airlock (Field-Tested),801214736721110548,49866528206,15.87,13.8,0.36253237724304,151,,1380.0,207,2003.0,80
MP9 | Airlock (Field-Tested),598543258484585408,47638314704,15.88,13.81,0.26929265260696,817,,1381.0,207,2003.0,80
MP9 | Airlock (Field-Tested),684117370980308888,11426610709,16.0,13.92,0.26455467939377,760,,1392.0,208,2003.0,80
MP9 | Airlock (Field-Tested),800086502567865077,14534625169,16.1,14.0,0.21810865402222,513,,1400.0,210,2003.0,80
MP9 | Airlock (Field-Tested),632334110894536245,26418323638,16.1,14.0,0.2895627617836,37,,1400.0,210,2003.0,80
MP9 | Airlock (Field-Tested),632334110894537541,25840343586,16.1,14.0,0.2584445476532,636,,1400.0,210,2003.0,80
